file,title,pages,format,bytes,sha256_16
04_Engineers_Gr6-8/Engineers_Curriculum_Guide.pdf,Engineers (Grades 6–8) — Curriculum Guide (Teacher Edition),14,Letter Portrait,122119,2d62886847de06c7
04_Engineers_Gr6-8/Engineers_S1_Assessment_Sheet.pdf,Engineers (Grades 6–8) — Semester 1 · Password Strength Checker — Assessment Sheet,2,Letter Landscape,68720,eed15c63c479faab
04_Engineers_Gr6-8/Engineers_S1_Quiz_Pack.pdf,Engineers (Grades 6–8) — Semester 1 · Password Strength Checker — Quiz Pack,4,Letter Portrait,81934,9d47035ac4328a2e
04_Engineers_Gr6-8/Engineers_S1_Student_Workbook.pdf,Engineers (Grades 6–8) — Semester 1 · Password Strength Checker — Student Workbook,7,Letter Portrait,84812,b98a93da0f600d51
04_Engineers_Gr6-8/Engineers_S2_Assessment_Sheet.pdf,Engineers (Grades 6–8) — Semester 2 · Smart Sorting AI — Assessment Sheet,2,Letter Landscape,68855,bf7bc30857279045
04_Engineers_Gr6-8/Engineers_S2_Quiz_Pack.pdf,Engineers (Grades 6–8) — Semester 2 · Smart Sorting AI — Quiz Pack,4,Letter Portrait,77724,37a2947db7e12fb6
04_Engineers_Gr6-8/Engineers_S2_Student_Workbook.pdf,Engineers (Grades 6–8) — Semester 2 · Smart Sorting AI — Student Workbook,7,Letter Portrait,77890,62201e0f42d9aa53
04_Engineers_Gr6-8/Engineers_S3_Assessment_Sheet.pdf,Engineers (Grades 6–8) — Semester 3 · Chatbot for Good — Assessment Sheet,2,Letter Landscape,68607,6a62bfe00c06d893
04_Engineers_Gr6-8/Engineers_S3_Quiz_Pack.pdf,Engineers (Grades 6–8) — Semester 3 · Chatbot for Good — Quiz Pack,4,Letter Portrait,80903,3867c1582ce7a36a
04_Engineers_Gr6-8/Engineers_S3_Student_Workbook.pdf,Engineers (Grades 6–8) — Semester 3 · Chatbot for Good — Student Workbook,7,Letter Portrait,83565,1f1c1c1bac5736ad
04_Engineers_Gr6-8/Engineers_S4_Assessment_Sheet.pdf,Engineers (Grades 6–8) — Semester 4 · Data Detective — Assessment Sheet,2,Letter Landscape,68486,f7e067a800aa53dc
04_Engineers_Gr6-8/Engineers_S4_Quiz_Pack.pdf,Engineers (Grades 6–8) — Semester 4 · Data Detective — Quiz Pack,4,Letter Portrait,80092,66ce7c677a6970ba
04_Engineers_Gr6-8/Engineers_S4_Student_Workbook.pdf,Engineers (Grades 6–8) — Semester 4 · Data Detective — Student Workbook,7,Letter Portrait,81613,e9e66160d87de421
